Timestamp,Class Period,"Participant ID (4 digits e.g. 7000, 7001)",Trial Number,Male or Female,Hand: Left (L) or Right (R),Hand: D for (Dominant - the one you write with) OR N (Non-Dominant),Distance (cm OR drop),age-range,Time (s)
,8-102,9031,5,f,l,n,10,child,
,8-102,9036,1,f,r,d,12,adult,
,8-102,9036,2,f,r,d,21,adult,
,8-102,9036,3,f,r,d,18,adult,
,8-102,9036,4,f,r,d,12,adult,
,8-102,9036,5,f,r,d,3,adult,
,8-102,9036,1,f,l,n,10,adult,
,8-102,9036,2,f,l,n,15,adult,
,8-102,9036,3,f,l,n,15,adult,
,8-102,9036,4,f,l,n,9,adult,
,8-102,9036,5,f,l,n,15,adult,
,8-102,9034,1,m,r,d,10,child,
,8-102,9034,2,m,r,d,14,child,
,8-102,9034,3,m,r,d,12,child,
,8-102,9034,4,m,r,d,17,child,
,8-102,9034,5,m,r,d,7,child,
,8-102,9034,1,m,l,n,13,child,
,8-102,9034,2,m,l,n,9,child,
,8-102,9034,3,m,l,n,10,child,
,8-102,9034,4,m,l,n,13,child,
,8-102,9034,5,m,l,n,14,child,
,8-102,9035,1,m,r,d,1,child,
,8-102,9035,2,m,r,d,5,child,
,8-102,9035,3,m,r,d,12,child,
,8-102,9035,4,m,r,d,10,child,
,8-102,9035,5,m,r,d,2,child,
,8-102,9035,1,m,l,n,4,child,
,8-102,9035,2,m,l,n,12,child,
,8-102,9035,3,m,l,n,29,child,
,8-102,9035,4,m,l,n,30,child,
,8-102,9035,5,m,l,n,1,child,
,8-102,9032,1,f,r,d,26,child,
,8-102,9032,2,f,r,d,17.5,child,
,8-102,9032,3,f,r,d,17,child,
,8-102,9032,4,f,r,d,9.5,child,
,8-102,9032,5,f,r,d,24.5,child,
,8-102,9032,1,f,l,n,25,child,
,8-102,9032,2,f,l,n,19,child,
,8-102,9032,3,f,l,n,20,child,
,8-102,9032,4,f,l,n,11.5,child,
,8-102,9032,5,f,l,n,14,child,
,8-102,9033,1,f,r,d,13,child,
,8-102,9033,2,f,r,d,15,child,
,8-102,9033,3,f,r,d,8,child,
,8-102,9033,4,f,r,d,10,child,
,8-102,9033,5,f,r,d,15,child,
,8-102,9033,1,f,l,n,14.5,child,
,8-102,9033,2,f,l,n,17,child,
,8-102,9033,3,f,l,n,11,child,
,8-102,9033,4,f,l,n,17,child,
,8-102,9033,5,f,l,n,11,child,
,8-102,9025,1,f,r,d,11,child,
,8-102,9025,2,f,r,d,18,child,
,8-102,9025,3,f,r,d,8,child,
,8-102,9025,4,f,r,d,13,child,
,8-102,9025,5,f,r,d,10,child,
,8-102,9025,1,f,l,n,17,child,
,8-102,9025,2,f,l,n,17,child,
,8-102,9025,3,f,l,n,17,child,
,8-102,9025,4,f,l,n,13,child,
,8-102,9025,5,f,l,n,15,child,
